uuid type iter sec_workers target_idle qps duration metadata
ad005d56-ebc5-4a5e-87a2-01ec4b8ebe4d baseline-irq 1 9 7 500 60 8c,8st,1ct
cb243374-bfd7-4758-9dd6-8bf84097e250 harvest-irq 1 9 7 500 60 8c,8st,1ct
01747039-7fe9-4f30-88e1-a5cb2e1fe982 baseline-irq 1 9 7 2500 60 8c,8st,1ct
00d97d37-fe01-4145-9e7f-8fb6c25b2c78 harvest-irq 1 9 7 2500 60 8c,8st,1ct
95f92a5e-e566-421d-8fd0-ea07f7205836 baseline-irq 1 9 7 4000 60 8c,8st,1ct
5b652166-ed8e-4438-b064-64b5092c09bf harvest-irq 1 9 7 4000 60 8c,8st,1ct
4a6d125b-cf89-4a6f-abd8-74d5ccef0714 harvest-irq 1 9 7 500 60 aware
2734ceea-93cd-4a51-8795-979f0f4aba39 harvest-irq 1 9 7 2500 60 aware
7c2ab8ab-50e2-4aa1-93bb-0d37ec1efa21 harvest-irq 1 9 7 4000 60 aware
