uuid type iter sec_workers target_idle qps duration metadata
53f75276-6767-4fe3-b642-f62d7662ef43 baseline-irq 1 9 7 10000 60 mutilate
2ba185cc-5bbc-4479-afe9-dde81c44935d harvest-irq 1 9 7 10000 60 mutilate
fd2ce26c-6add-4a48-9041-1ea6b1bcfd0c baseline-irq 1 9 7 50000 60 mutilate
bbf12d2d-ca57-453c-8e80-8a600adcbebe harvest-irq 1 9 7 50000 60 mutilate
594fa02c-0de8-4ed5-9ac6-009f58d85a1e baseline-irq 1 9 7 100000 60 mutilate
c2298866-06fd-44ee-95eb-777eee6b042e harvest-irq 1 9 7 100000 60 mutilate
a58d9f95-8669-44d7-b08e-eea14d93d1e2 harvest-irq 1 9 7 10000 60 aware
626f86e8-d024-482c-969a-37f6076abeb2 harvest-irq 1 9 7 50000 60 aware
15526a7d-9508-49ff-812e-7f5b57d7bd89 harvest-irq 1 9 7 100000 60 aware
