uuid type iter sec_workers target_idle qps duration metadata
1c27c6c7-26b0-478b-8937-6d121a850868 baseline 1 1 1 10000 60 mutilate
f90a02e0-24c2-4284-8b0e-b0356ba6e442 harvest 1 9 7 10000 60 mutilate
c7c09666-7a70-4c0e-b76f-13caff62510c baseline 1 1 1 20000 60 mutilate
deeb9ed0-724f-4d1f-bc36-12feef168094 harvest 1 9 7 20000 60 mutilate
6a2f3fa2-eb4d-4184-8f7f-76bf769048a3 baseline 1 1 1 30000 60 mutilate
272e1756-5677-4a04-83d7-0601d1af861a harvest 1 9 7 30000 60 mutilate
1399ed40-d77c-405a-aef8-26fc63f4bf5d baseline 1 1 1 40000 60 mutilate
137b0779-4a3a-488d-a3e9-9f1c6daef8fb harvest 1 9 7 40000 60 mutilate
572d2956-8ad5-4097-8af7-3d0cb3f7b915 baseline 1 1 1 50000 60 mutilate
f3de1dcf-fb7a-4c13-9e10-3c9a896f15bc harvest 1 9 7 50000 60 mutilate
32c1022a-67cb-4fea-8607-0701458ff2d4 baseline 1 1 1 60000 60 mutilate
3a522dcc-edfc-4e94-9623-81f6f5ebf2d3 harvest 1 9 7 60000 60 mutilate
37c77342-0e5f-41f7-b085-2d3184c46f63 baseline 1 1 1 70000 60 mutilate
a9e3ec45-c4dc-43ba-815e-e027cd56bb38 harvest 1 9 7 70000 60 mutilate
412a2387-d3e2-43fc-b44f-834d38131751 baseline 1 1 1 80000 60 mutilate
f80368fd-d338-4df1-b6f3-de414390bb3a harvest 1 9 7 80000 60 mutilate
785ef72b-2d5f-41f6-8f97-158f1af116cf baseline 1 9 7 90000 60 mutilate
6550926e-dfc4-4bf5-b6ad-c33745ef372e harvest 1 9 7 90000 60 mutilate
add537bd-72c7-4e0e-a59d-90737dd8523e baseline 1 9 7 100000 60 mutilate
ad7d2d3a-b7be-4d9f-9153-8bc7b787711c harvest 1 9 7 100000 60 mutilate

