uuid type iter sec_workers target_idle qps duration metadata
765d3987-29f3-42a3-9dd5-8e4d1938bb2e baseline-irq 1 9 7 1000 60 8c,8st,1ct
87f34a7a-6928-431c-9c3d-bf7eeb3fd515 harvest-irq 1 9 7 1000 60 8c,8st,1ct
3e7e2fd1-cd27-4dd6-8ad2-6cc294406c7f baseline-irq 1 9 7 4000 60 8c,8st,1ct
c0b2bd23-975d-4969-8fc7-34cada135ee6 harvest-irq 1 9 7 4000 60 8c,8st,1ct
d2896c01-4e84-4b5c-8002-b668f0a8cd1a baseline-irq 1 9 7 8000 60 8c,8st,1ct
3d38f1dc-6e8b-414c-bbb8-3fd20ee1a2a4 harvest-irq 1 9 7 8000 60 8c,8st,1ct
60f4c878-59df-40e7-b107-efd2bea62b9d harvest-irq 1 9 7 1000 60 aware
507848b2-da57-4489-8e6b-94be5fac08e1 harvest-irq 1 9 7 4000 60 aware
3e429654-20b6-4d38-a6de-b9c92cd7f1c0 harvest-irq 1 9 7 8000 60 aware
